iso3,country_name,extractive_rents_pct_gdp,data_tiers,eiti,include,drop_reason,commodity_main,resource_rate,resource_rate_source,domestic_share,domestic_share_source,status,preferred_source,preferred_source_note
PER,Peru,5.76,manual_distributed,False,yes,,minerals,0.32,resource_profit_tax_rate.csv (minerals): CIT 29.5% + modified mining royalty/special tax on operating margin,0.1,manual_resource_revenue.csv: Peru SUNAT tax revenue (CIT + Regalías Mineras combined),ok,manual,SUNAT tax-authority data covers 2016-2022 and is ~65% larger than EITI in the 2016-20 overlap; EITI Peru is missing 2021-22 entirely
PHL,Philippines,0.8,eiti_bilateral,True,yes,,minerals,0.25,effective_resource_cit_rates.csv (combined): BIR,0.113,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
PNG,Papua New Guinea,14.38,eiti_bilateral|grd_distributed,True,yes,,minerals,0.4,effective_resource_cit_rates.csv (combined): IRC PNG,0.043,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
POL,Poland,1.48,manual_distributed,False,yes,,coal,0.24,effective_resource_cit_rates.csv (combined): Ministerstwo Finansów,0.95,"manual_resource_revenue.csv: KGHM Polska Miedz Report on Payments to Governments 2016-2022 (extractive payments, mineral extraction tax + royalties); OECD Revenue Statistics 5128 (other taxes on specific goods/services) + KGHM dividend reports; 2022 anchored on $3B total fills entry (coal $2.2B + minerals $0.8B); 2016-21 extrapolated by WB rent ratios. JSW + PGG + Bogdanka coal-sector payment reports NOT YET INTEGRATED. | AUDIT 2026-07-22: dom 0.70-0.85 -> 0.95 - KGHM/PGG/JSW/Tauron all Polish-state or Polish-listed; no foreign extractive operator of scale (CHN 432m generic share was phantom)",ok,,
PRT,,0.1,rent_proxy,False,no,rent-proxy-only and extractive rents 0.10% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
PRY,,0.06,rent_proxy,False,no,negligible extractives — no real oil/mining production (web research),,,,,,excluded — not a resource country,,
QAT,Qatar,21.46,manual_distributed,False,yes,,oil_gas,0.35,resource_profit_tax_rate.csv (oil_gas): LNG-JV income tax ~35%; QatarEnergy share is equity-side,0.68,"manual_resource_revenue.csv: IMF Article IV 2019/2022/2024 Figure 4 shows central-gov revenue structure: Oil + LNG-related (pre-profit royalty/PSC, dominant), Corporate tax (~85% from QE, post-profit, 15-25%), Investment income (QE dividends + QIA, ~10-20%; resource-attributable portion smaller). Revised 2026-05 from 20/30/50 to 55/25/20 after IMF Art IV review.",ok,,
ROU,Romania,0.67,rent_proxy,False,no,rent-proxy-only and extractive rents 0.67% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
RUS,Russia,11.43,manual_distributed,False,yes,,oil_gas,0.2,resource_profit_tax_rate.csv (oil_gas): profit tax 20% on the sector; MET + export duty are pre-profit; APT on some fields raises effective,0.85,"manual_resource_revenue.csv: Russian MinFin 'brief annual federal budget execution' table: oil&gas revenues RUB 4844/5972/9018/7924/5235/9056/11586 bn for 2016-2022, /avg USDRUB; this federal line is MET (NDPI) + oil/gas export duties (both pre-profit) + the profit-based hydrocarbon tax NDD (since 2019); it EXCLUDES regional profit tax on oil&gas and Gazprom/Rosneft state dividends",ok,,
RWA,,0.13,rent_proxy,False,no,rent-proxy-only and extractive rents 0.13% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SAU,Saudi Arabia,23.8,manual_distributed,False,yes,,oil_gas,0.45,effective resource take (royalties + special hydrocarbon tax + Zakat) ~= reported CbCR ETR 0.45; the 0.20 headline Aramco CIT under-removed (~$463bn residual at 37%); raised 2026-07 so the ETR-gap strip caps Saudi non-resource ETR at statutory. Prior: Aramco CIT 20% post-2017 (was 50%/85%); royalty pre-profit; equity/dividends post-profit-side,1.0,"manual_resource_revenue.csv: Saudi Aramco AR 2021 p.176 (royalties+taxes $38.6B) + p.179 (dividends $75.0B) + income taxes/zakat $95.2B. 2021 derived split 18.5/45.6/35.9, rounded to 20/45/35. Special 20% Aramco CIT + 50% historical CIT regime + ~$75B dividends. Revised 2026-05 from 30/25/45. | Split retuned 2026-06 to 0.25/0.20/0.55 (pre/post/equity): Aramco ~98% state-owned so dominant flow is dividends(equity)+royalties, CIT only 20%; lowered post (was ~0.37-0.46) to stop resource_profit_base=post/rate driving profit_loss_excl_resource negative. See manual_resource_data_sources.md. | AUDIT 2026-07-22: dom -> 1.0 (no foreign upstream producer; phantom generic slice removed)",ok,,
SDN,Sudan,4.66,grd_distributed|rent_proxy,False,yes,,minerals,0.35,effective_resource_cit_rates.csv (combined): IMF Sudan,0.55,[low conf] Sudan Transparency Initiative Gold Sector 2024 (opaque/war-disrupted),verify (low-confidence value),,
SEN,Senegal,1.44,eiti_bilateral|grd_distributed,True,yes,,minerals,0.3,effective_resource_cit_rates.csv (combined): PSC terms,0.044,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
SGP,,0.0,rent_proxy,False,no,rent-proxy-only and extractive rents 0.00% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SLB,,0.58,eiti_bilateral|rent_proxy,True,yes,,minerals,0.3,[med conf] Solomon Islands Business Registry 2026 (resident CIT 30%),0.4,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
SLE,Sierra Leone,1.26,eiti_bilateral,True,yes,,minerals,0.3,effective_resource_cit_rates.csv (combined): NRA,0.0,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
SLV,,0.0,rent_proxy,False,no,rent-proxy-only and extractive rents 0.00% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SOM,,0.0,manual_distributed,False,no,negligible extractives — no real oil/mining production (web research),,,,,,excluded — not a resource country,,
SRB,,0.99,rent_proxy,False,no,rent-proxy-only and extractive rents 0.99% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SSD,South Sudan,,manual_distributed,False,yes,,oil_gas,0.6,effective_resource_cit_rates.csv (combined): Petroleum Act 2012,0.1,manual_resource_revenue.csv: IMF Art IV 2019 Text Table 1: 2016/17 net oil revenue $910M (Sudan transfers $480M; advances $150M; Nilepet $224M; Treasury $56M),ok,,
STP,,0.0,eiti_bilateral,True,yes,,oil_gas,0.3,[med conf] Sao Tome Petroleum Taxation Act / Model PSC (30% petroleum CIT); pre-production,0.0,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),REVIEW: negligible extractives — consider excluding,,
SUR,,8.76,grd_distributed,False,yes,,minerals,0.36,[high conf] Staatsolie/TotalEnergies Block 58 terms + Suriname CIT 2024-25,0.5,"[low conf] EITI Suriname FY2023-24 + Newmont/Rosebel ownership | AUDIT 2026-07-22: blended dom 0.38 -> 0.5: oil = 100% Staatsolie domestic in-window (Block 58 first oil 2028), minerals = Newmont/IAMGOLD foreign-dominated (~0.15 dom); take-weighted blend documented in audit log",verify (low-confidence value),,
SVK,,0.02,rent_proxy,False,no,rent-proxy-only and extractive rents 0.02% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SVN,,0.03,rent_proxy,False,no,rent-proxy-only and extractive rents 0.03% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SWE,,0.6,rent_proxy,False,no,rent-proxy-only and extractive rents 0.60% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SWZ,,0.13,rent_proxy,False,no,rent-proxy-only and extractive rents 0.13% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
SYR,Syria,3.93,rent_proxy,False,no,resource fiscal data war-disrupted and opaque post-2011 — not reliably collectable,,,,,,excluded — not reliably collectable,,
TCD,Chad,12.51,eiti_bilateral|grd_distributed,True,yes,,minerals,0.4,effective_resource_cit_rates.csv (combined): Chad petroleum code,0.117,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
TGO,,2.54,eiti_bilateral,True,yes,,minerals,0.27,"[high conf] Togo Code General des Impots Art.113 (CIT 27%, no surtax)",0.0,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
THA,Thailand,1.17,manual_distributed,False,yes,,oil_gas,0.5,effective_resource_cit_rates.csv (combined): DMF + Revenue Dept,0.8,[med conf] PTTEP supplies ~82% of Thai gas (state-controlled),ok (hand-collected manual entry),,
TJK,Tajikistan,4.57,eiti_bilateral|rent_proxy,True,yes,,coal,0.18,effective_resource_cit_rates.csv (combined): Tax Committee,0.172,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
TKM,,14.06,manual_distributed,False,yes,,oil_gas,0.2,resource_profit_tax_rate.csv (oil_gas): state-owned; opaque; ~0.20 profit-based,0.95,manual_resource_revenue.csv: opaque; Turkmengaz/Turkmennebit 100% state; gas exports mostly to China; rough,ok,,
TLS,Timor-Leste,44.21,eiti_bilateral|grd_distributed,True,yes,,minerals,0.52,effective_resource_cit_rates.csv (combined): ANPM + AT,0.052,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
TTO,Trinidad and Tobago,7.59,eiti_bilateral|grd_distributed,True,yes,,oil_gas,0.85,effective_resource_cit_rates.csv (combined): MEEI + BIR,0.335,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
TUN,Tunisia,1.98,grd_distributed,False,yes,,minerals,0.45,effective_resource_cit_rates.csv (combined): Tunisia hydrocarbon code,0.85,[med conf] USGS MYB 2020-21 + CPG/ETAP (phosphate 100% state; petroleum mixed),ok (researched),,
TUR,Turkey,0.41,manual_distributed,False,yes,,minerals,0.25,effective_resource_cit_rates.csv (combined): GIB,0.5,manual_resource_revenue.csv: YEAR IMPUTED via nearest-year (2018); original method: MAPEG Mining Devlet Hakkı (state royalty); CIT-on-mining NOT included,ok,,
TZA,Tanzania,1.82,eiti_bilateral|rent_proxy,True,yes,,coal,0.3,resource_profit_tax_rate.csv (minerals): CIT 30%; royalty 6% revenue (pre-profit); 16% free carried interest is equity-side,0.2,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
UGA,,0.03,eiti_bilateral|grd_distributed,True,yes,,minerals,0.3,[med conf] PwC WTS Uganda 2026 (upstream petroleum & mining CIT 30%),0.067,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
UKR,,2.79,eiti_bilateral,True,yes,,coal,0.18,"[high conf] PwC WTS Ukraine 2025 (18% CIT; subsoil rent is royalty, excluded)",0.717,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
URY,,0.02,grd_distributed|rent_proxy,False,no,negligible extractives — no real oil/mining production (web research),,,,,,excluded — not a resource country,,
USA,United States,0.54,eiti_bilateral|manual_distributed,True,yes,,coal,0.23,resource_profit_tax_rate.csv (oil_gas): federal CIT 21% + state CIT; severance taxes are pre-profit,0.7,manual_resource_revenue.csv: federal+state coal royalties/severance pre-profit; CIT,ok,,
UZB,Uzbekistan,12.97,manual_distributed,False,yes,,minerals,0.15,effective_resource_cit_rates.csv (combined): State Tax Committee,0.9,"manual_resource_revenue.csv: Uzbekistan: subsurface-use tax [pre] (UZS bn, SOURCED for 2021=15,811.9 / 2022=13,887.4 from MoF 2022 Budget Brief; 2016-20 estimated) + mining-sector corporate income tax [post] (2022=17,393.7 bn UZS = 46% of total CIT per the same brief; other years estimated) + state revenue from Navoi/Almalyk (wholly state-owned gold/copper) + Uzbekneftegaz [equity, estimated]; /avg UZS-USD. Commodity split minerals(gold+copper)/oil_gas(gas) ~0.65/0.35.",ok,,
VEN,,,manual_distributed,False,yes,,oil_gas,0.2,resource_profit_tax_rate.csv (oil_gas): PDVSA; collapsed regime; ~0.20 effective profit-based,0.88,manual_resource_revenue.csv: PDVSA 100% state; fiscal regime collapsed but state take is primarily via PDVSA dividend / direct transfer. Revised 2026-05 from 30/20/50. Confidence low.,ok,,
VIR,,0.34,rent_proxy,False,no,rent-proxy-only and extractive rents 0.34% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
VNM,Vietnam,1.42,grd_distributed,False,yes,,coal,0.5,effective_resource_cit_rates.csv (combined): GDT + petroleum law,0.9,[med conf] Global Energy Monitor (Vinacomin ~95% coal) + PVN/Vietsovpetro,ok (researched),,
YEM,Yemen,2.48,manual_distributed,False,yes,,oil_gas,0.35,effective_resource_cit_rates.csv (combined): IMF,0.1,"manual_resource_revenue.csv: Yemen state oil revenue 2016: collapse phase, Hadi government partial collection; OPEC/IMF estimates ~$0.3B. Confidence low.",ok,,
ZAF,South Africa,3.81,manual_distributed,False,yes,,minerals,0.27,resource_profit_tax_rate.csv (minerals): CIT 27%; the mining royalty is revenue-based (pre-profit),0.45,"manual_resource_revenue.csv: South Africa mining: MPRR mineral royalty from SARS Tax Statistics (ZAR bn ~3/4/7/7/14/28/25; SARS: 2016/17 R2.1bn, 2020/21 R14.3bn, 2021/22 R28.5bn); mining-sector corporate income tax is an estimate (ZAR bn ~10/15/18/18/25/50/50); negligible state equity; /avg ZAR per USD",ok,,
ZMB,Zambia,9.06,eiti_bilateral,True,yes,,minerals,0.3,resource_profit_tax_rate.csv (minerals): CIT 30%; mineral royalty is revenue-based (pre-profit),0.0,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
ZWE,,2.57,manual_distributed,False,yes,,coal,0.25,[high conf] ZIMRA mining 25% (note platinum SML 15%+APT),0.5,[low conf] US State Dept 2025 + production data (gold domestic vs platinum foreign),ok (hand-collected manual entry),,
